SOC,SOH,Operating conditions,DischargingBattery,Temperature(°C),Initial capacity (Ah),EOL capacity(Ah),Current(A),Cut-off voltage(V)
69,99,Constant current discharge,Yes,24,1887,912.5,9.8,3.2
67,94,Constant current discharge,Yes,23.5,1883,912.5,9.5,3.2
100,100,Constant current discharge,Yes,25,2010,983.2,10.4,3.1
100,99,Constant current discharge,Yes,24.9,2006,1004,10.3,3.1
61,94,Constant current discharge,Yes,23.6,1837,992.1,10.1,3.2
96,98,Constant current discharge,Yes,25.2,2010,988,10.1,3.1
57,94,Constant current discharge,Yes,23.5,1865,912.5,9.6,3.2
92,100,Constant current discharge,Yes,24.9,1983,986.3,10.2,3.2
85,95,Constant current discharge,Yes,23.9,1964,923.1,9.7,3.2
68,91,Constant current discharge,Yes,23.7,1847,912.5,9.8,3.2
70,92,Constant current discharge,Yes,23.7,1808,920.1,9.8,3.2
100,99,Constant current discharge,Yes,23.8,1987,957.2,10.1,3.2
63,93,Constant current discharge,Yes,23.7,1816,916.2,10.1,3.2
93,99,Constant current discharge,Yes,24.7,1942,971.8,9.9,3.1
75,96,Constant current discharge,Yes,24.9,1921,967.7,10.2,3.2
100,100,Constant current discharge,Yes,25.1,2010,985.7,10.4,3.1
64,92,Constant current discharge,Yes,23.5,1819,912.5,9.8,3.2
59,98,Constant current discharge,Yes,23.7,1984,931.9,9.9,3.2
81,96,Constant current discharge,Yes,23.6,1821,971.4,10,3.2
57,92,Constant current discharge,Yes,23.5,1878,912.7,9.8,3.2
55,93,Constant current discharge,Yes,23.5,1851,915,9.6,3.2
67,91,Constant current discharge,Yes,23.5,1882,912.5,9.5,3.2
58,93,Constant current discharge,Yes,23.5,1866,918.6,9.7,3.2
92,93,Constant current discharge,Yes,24.1,1992,995.5,10,3.2
64,93,Constant current discharge,Yes,23.9,1833,912.5,9.6,3.2
61,91,Constant current discharge,Yes,23.5,1775,912.5,10,3.2
93,99,Constant current discharge,Yes,24.8,2009,985.6,10.1,3.1
87,98,Constant current discharge,Yes,24.8,2010,996.5,10.4,3.1
100,99,Constant current discharge,Yes,25,2010,1015.1,10.4,3.1
74,94,Constant current discharge,Yes,23.8,1827,982.1,9.8,3.2
68,94,Constant current discharge,Yes,24,1936,912.5,10.1,3.2
57,94,Constant current discharge,Yes,23.6,1873,912.5,9.5,3.2
60,98,Constant current discharge,Yes,23.7,1825,968.9,9.9,3.2
93,99,Constant current discharge,Yes,25,2010,984.5,10.1,3.2
98,100,Constant current discharge,Yes,24.9,1994,984.7,10.2,3.1
68,92,Constant current discharge,Yes,23.5,1894,919.5,9.7,3.2
91,97,Constant current discharge,Yes,24.9,2005,927.8,10.3,3.2
66,93,Constant current discharge,Yes,23.5,1821,912.5,9.7,3.2
86,99,Constant current discharge,Yes,24.8,1979,981.9,10,3.2
68,93,Constant current discharge,Yes,23.7,1835,926.6,9.9,3.2
90,99,Constant current discharge,Yes,24.8,1936,988.7,10.1,3.1
78,97,Constant current discharge,Yes,24.6,1873,922.9,9.7,3.2
63,94,Constant current discharge,Yes,23.5,1894,912.5,9.9,3.2
69,92,Constant current discharge,Yes,23.5,1851,912.5,9.5,3.2
